,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
8.32_380.1462n,380.1461938,759.270655,1,8.324783333,0.486216667,5,7.26E-10,1.69E-08,14.78119902,CK_L,HI_L,100 - 29.6 - 1.93,243350.1304,26.12,143208.2428,283858.2798,267022.5469,306845.4572,271780.4305,187385.8252,14169.63768,12563.31289,17633.34244,7799.221365,28158.91996,10688.00875,117235.1005,318459.9377,218728.3687,235753.2821,310393.0834,141998.4207,12376.39753,8019.55244,15660.84409,768.7241532,13410.96192,10364.31576,x,x,x,x,,,"M+FA-H, 2M-H",,,,,,,
8.58_390.1051n,390.1050592,779.2026164,1,8.581266667,0.479,2,0.000105125,0.000435194,202.6449221,CK_L,HI_L,100 - 32.7 - 7.23 - 0.349,2075773.394,18.7,1613825.649,2575380.139,1684161.414,2262680.847,1949303.635,2369288.681,0,299.5562262,0,826.5168733,93555.73609,335.3900538,1321132.139,2889312.933,1379560.951,1738446.581,2226246.992,1795414.624,0,191.216034,0,81.4649891,44556.83725,325.2325576,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.58_393.1103n,393.1103132,785.2133995,1,8.581266667,0.394066667,0,6.89E-06,4.94E-05,6.106485054,CK_L,HI_L,100 - 31.2 - 14.7 - 0.269,989052.5448,37.69,1012235.868,584429.8552,993598.072,1553414.503,583365.1826,1207271.789,104273.6745,92632.64547,112944.2402,47687.81722,175510.6349,138721.9537,828650.4419,655670.4826,813894.1374,1193508.194,666245.6067,914854.0835,91077.30752,59130.29187,100310.0883,4700.312402,83588.66193,134520.6732,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.12_392.1026n,392.1025858,783.1978983,1,8.1242,0.48815,0,3.40E-08,5.94E-07,11.18818694,CK_L,HI_L,100 - 33.1,798266.1577,9.35,735655.7174,726592.83,781172.0434,922134.2813,849475.3051,774566.7688,53149.8958,42186.38086,74217.91889,18667.46012,147038.2072,71546.40606,602232.597,815162.7903,639887.8624,708487.5409,970162.7846,586956.1254,46423.50454,26928.87589,65915.76502,1839.943605,70028.38884,69379.5787,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.72_564.1475n,564.1475256,563.1402491,1,8.721516667,0.821983333,57,4.58E-06,3.52E-05,2.758704808,CK_L,HI_L,100 - 30.8 - 7.4 - 1.3 - 0.00431,78965328.3,19.59,94002620.07,90413669.26,62863260.7,57756871.39,78372751.15,90382797.26,32625062.29,23990916.66,29534922.81,16488483.69,17956015.4,42330747.72,76953717.16,101434883.3,51493698.29,44375341.65,89507400.68,68490850.13,28496193.73,15314146.51,26231091.64,1625174.498,8551728.513,41048734.73,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.83_311.0763n,311.076317,621.145123,1,8.833633333,1.05045,0,6.60E-07,6.87E-06,3.220201554,CK_L,HI_L,100 - 29.4,3347497.62,15.17,3041745.058,2691400.798,3335431.365,4218889.495,3424917.267,3372601.739,740322.0057,683314.1483,1201456.561,625424.4929,1648584.154,1119319.103,2490075.156,3019476.238,2732179.248,3241426.66,3911505.436,2555711.565,646630.468,436180.6232,1067059.405,61644.47592,785154.3789,1085419.829,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.89_492.1263n,492.1263159,491.1190395,1,8.890066667,1.22475,48,3.71E-12,1.09E-10,30.9255548,HI_L,CK_L,100 - 24.7 - 3.88,9230317.884,23.6,267688.147,217468.4975,279837.8761,520648.1609,166056.062,339114.9596,12106200.22,10145515.41,10505192.53,5658228.452,6843607.764,11221359.46,219138.551,243977.3968,229225.8944,400020.629,189648.1399,256976.6878,10574098.65,6476197.284,9330062.237,557698.8614,3259335.345,10881513.62,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.95_376.1076n,376.1076289,751.2068183,1,7.952233333,0.31515,0,0.000166803,0.000642608,200.6397705,CK_L,HI_L,100 - 27.3 - 2.93,411359.9106,52.84,233795.0689,740204.691,217028.5365,321878.6576,622523.6012,332728.9088,0,77.13137283,1731.617189,951.3843364,8569.856305,0,191392.5334,830433.9052,177776.365,247303.4819,710967.3781,252137.4257,0,49.23534856,1537.915283,93.77245292,4081.478149,0,x,x,x,x,,,"M-H, 2M-H",,,,,,,
6.10_490.1683n,490.1682535,489.1609771,1,6.099266667,1.624983333,25,1.47E-07,2.05E-06,3.45775246,CK_L,HI_L,100 - 22.8 - 4.2,2254518.64,20.49,1998004.083,2956896.659,1762553.444,1856509.485,2543169.244,2409978.923,564784.9926,662196.5876,510388.4847,401399.3024,681883.7604,595062.0682,1635633.57,3317335.42,1443774.858,1426379.939,2904484.852,1826249.134,493308.562,422700.6289,453295.4834,39563.60826,324753.8313,577040.2437,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
7.95_350.1936n,350.1935518,349.1862754,1,7.952233333,0.5713,10,2.47E-10,6.16E-09,13.65505127,HI_L,CK_L,100 - 15.2,514138.0139,25.62,28436.98927,41504.97486,28608.56404,38789.63687,58392.89524,30178.07124,551656.1105,512525.562,490611.2985,204995.8741,617341.0674,651643.3207,23279.4791,46564.33386,23434.36769,29802.57322,66688.94729,22868.53049,481841.2072,327160.9692,435730.61,20205.25798,294014.7405,631907.8978,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
7.89_407.1077n,407.1077047,813.2085351,1,7.894333333,0.684166667,0,3.16E-08,5.55E-07,19.22589803,CK_L,HI_L,100 - 35.4 - 8.95 - 0.448 - 0.0127,2024507.505,19.82,1747371.437,1862358.297,1974305.999,2777452.366,1671813.649,2113743.282,78091.13321,73792.25853,97170.56879,20962.77988,297453.0581,70388.48065,1430457.228,2089375.401,1617229.464,2133952.111,1909333.18,1601765.809,68208.30075,47103.88829,86300.88899,2066.180001,141664.9374,68256.72178,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.87_391.1129n,391.1128952,781.218831,1,7.86635,0.5969,1,0.000764087,0.002273823,78.62106049,CK_L,HI_L,100 - 29.8 - 4.59,542374.8,44.93,351826.5779,982144.6046,295127.0589,586555.4302,558743.8281,479851.3006,10974.7957,10205.60912,1610.884094,0,20807.74852,9812.515047,288017.11,1101865.726,241749.8481,450658.0253,638126.2232,363624.7661,9585.879148,6514.556969,1430.687616,0,9909.894392,9515.336932,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.78_258.1099n,258.1098723,515.2124966,1,7.78375,1.82175,1,8.47E-05,0.000361779,3.362032396,CK_L,HI_L,100 - 21.4 - 1.74,4377802.846,29.52,2918440.251,3896652.643,5076787.915,3369326.649,4514780.307,6490829.313,600206.1207,688604.7924,1822132.927,641417.5289,2328447.317,709201.3754,2389133.68,4371645.453,4158590.921,2588696.679,5156208.554,4918661.86,524246.9652,439557.8054,1618305.763,63220.81701,1108945.881,687722.7711,x,x,x,x,,,"M-H, 2M-H",,,,,,,
9.29_872.2935n,872.2935323,871.2862559,1,9.286033333,0.256483333,0,0.00336636,0.007718899,33.03684242,CK_L,HI_L,100 - 41.7 - 11.1 - 0.921,1114736.212,12.95,1109583.62,897127.5477,1039776.006,1317851.377,1214642.436,1109436.287,8882.322192,10566.7773,16817.17416,0,111297.9352,7810.649872,908342.5971,1006485.29,851720.2469,1012522.037,1387210.294,840715.6756,7758.218872,6745.101824,14935.97391,0,53006.73367,7574.099487,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
7.61_726.2008n,726.2008465,725.1935701,1,7.612916667,0.6565,22,4.80E-07,5.34E-06,3.688645785,CK_L,HI_L,100 - 43.9,628670.1051,21.32,803541.2243,589296.6293,472669.6372,556809.034,565406.6801,784297.426,187618.9078,154175.2129,178962.3052,73802.36266,134640.6886,267521.2315,657805.9639,661130.505,387181.7564,427803.4893,645735.6864,594329.8846,163874.775,98414.82224,158943.2503,7274.272146,64123.94897,259419.1848,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.56_273.1154n,273.1153933,545.2233958,1,7.556933333,0.487116667,0,0.00017395,0.000664948,5.330718396,CK_L,HI_L,100 - 12.8 - 11.8 - 1.74,242142.0381,25.27,238704.5863,290126.3899,214224.7491,189409.0548,338301.1819,182086.2667,34058.58919,25600.51307,25698.58981,3506.699737,38448.94987,31497.23345,195411.6301,325492.1158,175479.6756,145525.3949,386364.6355,137982.4876,29748.30047,16341.60184,22823.89795,345.6351166,18311.68962,30543.32017,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.56_464.1235n,464.1234935,927.2394152,1,7.556933333,0.892133333,0,1.50E-09,3.42E-08,57.80563521,CK_L,HI_L,100 - 27.5 - 4.76 - 0.236,2365887.986,23.04,2211746.836,1764788.967,2500220.395,3132156.594,1801111.799,2785303.327,17195.24487,40661.66472,22768.65676,15666.13972,198285.9735,24198.6923,1810610.601,1979912.599,2048026.037,2406475.898,2057001.102,2110664.845,15019.09866,25955.60227,20221.71265,1544.120807,94435.64037,23465.81987,x,x,x,x,,,"M-H, 2M-H",,,,,,,
9.34_448.1362n,448.1361566,447.1288802,1,9.34445,0.454183333,23,1.02E-05,6.45E-05,12.83266998,HI_L,CK_L,100 - 18.5 - 1.43,337643.8252,45.48,6350.482151,7804.575714,58021.84945,46239.8278,36151.63311,3299.242641,535894.3338,517009.9665,292457.0504,108936.5141,132620.5272,500539.962,5198.719002,8755.935173,47527.91339,35526.65002,41287.80299,2500.121042,468074.164,330023.5037,259742.2631,10737.2423,63161.82728,485380.7983,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
