,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,infected_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,healthy_mesophyll ,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
9.66_753.1840m/z,670.1717087,671.1789851,1,9.158516667,0.498466667,0,1.66E-09,2.14E-08,5.943112483,CK_L,HI_L,100 - 30.1 - 6.07 - 0.483 - 0.0156,5747817.145,16.43,1213542.69,1199256.812,948935.2389,920682.5745,1083808.763,855875.502,5663461.438,4192780.418,6096602.053,8760371.72,3249300.775,6524386.464,1151388.42,909536.8964,903033.0362,103670.9644,832280.5507,836393.7255,4976600.262,4784049.852,5563776.692,7536023.832,3522000.241,5594404.715,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.66_493.1323m/z,710.1665691,711.1738456,1,9.158516667,0.781183333,0,5.28E-05,0.000149021,2.300181971,HI_L,CK_L,100 - 32.6 - 12.7 - 1.96,6395140.078,15.88,7413509.781,6483469.689,7799070.889,4428801.999,6847432.951,6197028.205,2946633.267,1876381.837,2987749.195,4251716.131,1214475.371,3404698.497,7033810.499,4917174.404,7421811.706,498693.238,5258294.139,6055969,2589267.368,2140990.788,2726628.57,3657497.092,1316400.926,2919395.016,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.63_475.1217m/z,614.1789864,1229.378707,1,12.41906667,0.37165,0,8.81E-11,1.32E-09,6.757602701,HI_L,CK_L,100 - 64.8 - 23.5 - 2.46,22407234.42,21.66,20550804.1,24326215.3,20340131.54,35478413.17,21393112.49,20414226.6,2979089.045,2870352.589,3282437.258,5220633.643,2303539.978,3239080.783,19498249.26,18449418.13,19356232.11,3994950.496,16428240.89,19949549.91,2617786.928,3275132.135,2995561.75,4490998.877,2496865.917,2777384.341,x,x,x,x,,,"M+H, 2M+H",,,,,,,
9.60_595.1638m/z,372.0812876,373.088564,1,12.41906667,0.42975,1,1.49E-11,2.40E-10,6.37478965,HI_L,CK_L,100 - 17.8,7710203.538,20.28,7432226.716,7789156.648,6935529.785,12002563.23,7538735.341,7659502.381,1171843.552,1175269.192,1153571.241,1636650.998,859115.1398,1260451.48,7051568.805,5907429.747,6600042.092,1351516.081,5789160.425,7485153.76,1029723.075,1341006.646,1052752.456,1407912.965,931216.8799,1080787.556,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.60_519.2681m/z,530.2345576,553.2238384,1,9.241033333,0.613983333,28,2.28E-13,4.37E-12,13.89205214,CK_L,HI_L,100 - 26.6 - 3.37 - 0.089,1867621.65,13.21,99183.38446,114675.9434,125851.0441,96635.3377,116937.0979,173063.5001,2067032.82,1681759.321,1833736.477,1757825.603,1609748.234,2255627.447,94103.4883,86972.19862,119763.3366,10881.36012,89798.56555,169124.1603,1816344.331,1918922.44,1673473.22,1512152.23,1744847.295,1934111.796,x,x,x,x,,,"M+NH4, M+Na",,,,,,,
9.60_507.1477m/z,382.6671212,383.6743976,1,11.07378333,0.406183333,0,7.08E-09,8.04E-08,3.560969326,CK_L,HI_L,100 - 10.4 - 0.395,758145.0554,13.54,184851.1771,231922.9548,241763.2438,196577.3753,258362.1478,144693.4671,824377.8424,670025.7888,663436.7172,695827.4939,923935.1935,771267.2964,175383.6157,175894.3393,230068.5939,22135.06222,198401.9671,141399.8972,724397.7965,764513.3912,605454.2697,598578.7755,1001476.994,661331.3639,x,x,x,x,,,"M+H, 2M+H",,,,,,,
9.60_287.0538m/z,784.2027873,785.2100638,1,9.683,0.356216667,0,3.56E-09,4.26E-08,18.38098599,CK_L,HI_L,100 - 33.2 - 2.33,990817.4754,18.53,34060.02653,24810.92286,70368.82978,31337.74546,88727.49015,46047.62077,843269.9182,773470.1732,1043015.265,1290746.962,1055705.824,938696.7109,32315.56703,18817.02864,66964.92595,3528.701838,68135.78822,44999.46663,740998.6528,882545.5901,951858.7515,1110352.411,1144306.552,804895.5,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.57_533.2839m/z,786.2184176,787.225694,1,9.26945,0.3608,0,1.97E-06,9.85E-06,6.963169216,CK_L,HI_L,100 - 35.2 - 5.84 - 0.0698,1126153.608,37.81,121219.2239,97933.37243,119883.3507,67126.17616,92524.1488,129428.9879,1324227.888,730214.5965,1088152.952,1763095.312,591838.1695,1259392.732,115010.7135,74274.3462,114084.3144,7558.561017,71051.32577,126482.8741,1163626.331,833190.0754,993051.5359,1516685.446,641508.5337,1079879.721,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.52_579.1687m/z,564.1464715,565.153748,1,9.409883333,2.106366667,57,3.00E-05,9.17E-05,2.193278932,CK_L,HI_L,100 - 29.2 - 6.39 - 1.07,139745717.2,15.76,72342478.61,54963611.75,65912300.8,48246227.37,32400461.96,90061616.75,165220371,152932644.8,117552604,109790952.3,138734705.5,154243025.6,68637298.74,41685344.09,62723969.64,5432635.587,24881026.28,88011598.63,145182544.4,174499335.5,107278846.9,94446589.66,150378096.7,132257326.3,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.52_248.1635m/z,402.1302446,403.137521,1,12.41906667,1.280616667,20,8.18E-13,1.45E-11,7.757749803,HI_L,CK_L,100 - 23.7 - 3.63,926368404.5,10.46,1008227450,944904820.9,899755221.4,1119803453,869759406.7,985818370.3,113126114.5,118284435.9,108510680.3,168722270.6,80421764.56,127406722.6,956588854.1,716631992.3,856231970.5,126092430.9,667907349.1,963378782.9,99406247.76,134965006.9,99027161.14,145141678.1,87171208.14,109246252.3,x,x,x,x,,,"M+H, M+Na",,,,,,,
