,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
8.57_338.0989n,338.0988823,339.1061588,1,8.57245,1.696133333,6,7.57E-08,4.23E-07,6.405314393,HI_V,CK_V,100 - 13.6 - 1.78 - 0.0689,3331847.021,14.29,511933.6576,614985.3821,392537.0997,501914.4695,559911.4155,539732.9487,2438257.639,3170285.366,2841717.789,5345734.418,5508927.201,2728166.595,420837.5141,628656.3852,219633.3977,378078.3148,568193.8792,447191.2137,2170967.129,2529604.553,1532259.595,3058396.565,4796065.301,2195523.301,x,x,x,x,,,"M+H, M+Na",,,,,,,
10.18_186.1250n,186.1250325,209.1141287,1,10.18493333,0.4531,0,1.63E-07,8.15E-07,6.863285437,HI_V,CK_V,100 - 9.47 - 0.0863,515779.2623,36.42,74371.33347,63497.71374,104535.8836,109579.9201,38484.69539,60433.3926,899247.1508,512128.1527,432893.3375,746789.4034,522590.2571,489507.0406,61137.31073,64909.25533,58490.19446,82543.52893,39053.97846,50071.58122,800668.4665,408632.5227,233416.9045,427252.4536,454966.4404,393936.395,x,x,x,x,,,"M+H, M+Na",,,,,,,
12.76_752.2047n,752.2046819,753.2119583,1,12.76248333,0.93805,0,1.36E-06,4.96E-06,3.460665745,HI_V,CK_V,100 - 35 - 1.21,1627632.671,24.4,615307.8057,414862.3121,447062.1966,572721.947,295087.2031,476899.9609,1590687.979,1220375.86,2594060.599,851669.1306,1320899.36,1948078.332,505816.7275,424084.6191,250141.4244,431415.633,299452.2668,395131.4679,1416311.082,973750.933,1398722.37,487256.1448,1149973.371,1567738.34,x,x,x,x,,,"M+H, M+Na",,,,,,,
10.24_682.1719n,682.1718968,683.1791733,1,10.24305,0.424066667,0,1.30E-05,3.45E-05,3.097359199,CK_V,HI_V,100 - 30.8 - 5.61,1641686.805,31.85,1298599.192,2658739.904,1171172.412,1068549.32,2181831.804,1471228.197,641069.1059,455260.2605,377200.056,416610.8844,895917.3305,511429.1707,1067519.683,2717843.165,655297.4901,804908.7059,2214106.449,1218973.799,570792.821,363257.0242,203386.982,238351.0287,779984.535,411578.4802,x,x,x,x,,,"M+H, M+Na",,,,,,,
12.68_404.1447n,404.1447118,405.1519883,1,12.67626667,0.114683333,0,6.80E-10,6.65E-09,36.77272827,HI_V,CK_V,100 - 15.9 - 0.227,381728.408,32.35,2497.379682,19576.38887,7402.419302,9601.43178,7617.242988,15589.62254,268208.586,421909.2422,372570.3154,334295.6913,255656.7032,611588.9302,2052.982924,20011.56811,4141.821255,7232.493518,7729.920701,12916.65117,238806.603,336645.8905,200890.6171,191256.9376,222574.414,492183.1933,x,x,x,x,,,"M+H, M+Na",,,,,,,
8.60_258.1118n,258.1117642,517.2215291,1,8.5996,1.055983333,1,4.15E-07,1.81E-06,7.252102007,CK_V,HI_V,100 - 21.3 - 5.37 - 0.389 - 0.0404,837544.0309,21.83,1133134.622,782406.5545,603394.3201,952644.6727,802889.1943,750794.8224,39226.39723,87222.60345,103645.074,92794.23556,90579.88158,127168.3396,931498.7405,799799.2971,337612.7882,717600.9347,814765.8954,622064.7612,34926.25947,69595.84686,55885.61949,53089.35109,78858.73441,102340.1772,x,x,x,x,,,"M+Na, 2M+H",,,,,,,
10.24_577.1493n,577.1492949,595.1970638,1,10.24305,0.4248,0,8.75E-07,3.42E-06,6.711675209,CK_V,HI_V,100 - 75.6 - 14 - 1.03,526148.2775,42.39,758128.2211,254993.8503,358017.2548,775243.0374,382359.4509,628147.8505,63389.65226,71364.49081,67643.68957,64984.58852,36957.27969,83552.63286,623222.9337,260662.313,200318.7627,583969.1799,388015.4853,520446.6399,56440.65218,56942.48941,36473.60507,37178.92188,32174.96262,67239.93785,x,x,x,x,,,"M+H, M+NH4",,,,,,,
12.73_312.0621n,312.0621118,313.0693882,1,12.73416667,0.484016667,22,1.63E-07,8.15E-07,3.99276599,HI_V,CK_V,100 - 14.9,1272642.743,10.03,413253.864,169003.1638,382115.9267,438881.8936,151445.4787,357722.4083,1371798.814,1173364.577,1375049.109,1317242.606,1370359.898,1290008.33,339717.3174,172760.0706,213802.5154,330597.6153,153685.7289,296387.905,1221417.329,936240.1276,741429.0742,753619.6053,1193033.656,1038148.972,x,x,x,x,,,"M+H, M+Na",,,,,,,
9.74_343.2456n,343.2455981,344.2528745,1,9.737966667,0.6108,12,1.80E-09,1.58E-08,38.11180481,HI_V,CK_V,100 - 14.6 - 6.94,564674.7856,39.75,12801.32433,29880.80361,10738.6748,16197.95514,8738.84698,10540.0144,604561.8851,507527.153,321358.3368,589161.0561,751633.2285,606733.4318,10523.38995,30545.04795,6008.531769,12201.47247,8868.115969,8732.840645,538287.6521,404961.3359,173277.0217,337070.2713,654370.9719,488275.6755,x,x,x,x,,,"M+H, M+Na",,,,,,,
10.38_418.0884n,418.0883551,441.0776563,1,10.38215,1.02855,18,5.68E-08,3.30E-07,7.241989037,HI_V,CK_V,100 - 20.3 - 2.77,11761198.37,29.48,2136433.642,941489.6155,1747191.714,2357232.07,693873.6106,1867951.817,8065294.243,9803574.891,10517643.07,17802334.7,14938423.33,11794814.92,1756265.503,962418.743,977593.3357,1775637.848,704137.7038,1547675.832,7181147.883,7822377.11,5671132.99,10185055.04,13005373.13,9492012.337,x,x,x,x,,,"M+NH4, M+Na",,,,,,,
11.45_376.1143n,376.1143193,377.1215958,1,11.44958333,0.664283333,4,3.90E-13,6.01E-12,35.03204432,HI_V,CK_V,100 - 18.9 - 0.33,1196555.121,16.38,24173.40974,67665.19237,23496.54112,27741.24561,36651.11325,25208.60322,1074055.605,1090059.023,1204530.025,1143914.447,887683.4726,1352977.292,19871.8672,69169.37618,13146.84692,20896.71454,37193.27314,20886.37704,956313.7936,869769.7365,649484.8625,654455.2612,772816.1484,1088823.965,x,x,x,x,,,"M+H, M+Na",,,,,,,
7.71_490.2033n,490.2032519,513.1922299,1,7.714066667,0.582016667,61,1.16E-09,1.07E-08,5.291425101,CK_V,HI_V,100 - 24.8,506263.1559,13.53,395331.9352,486063.8048,589123.3241,483344.5974,562309.8876,521405.3864,63505.22314,97137.82345,101284.8885,105791.9057,91213.70344,84533.87883,324984.51,496868.9068,329627.8427,364090.1428,570627.8306,432006.0654,56543.55377,77507.30679,54613.003,60525.56596,79410.53895,68029.60678,x,x,x,x,,,"M+NH4, M+Na",,,,,,,
7.77_500.1511n,500.1510735,501.15835,1,7.768766667,0.525833333,4,9.61E-08,5.16E-07,2.884838443,HI_V,CK_V,100 - 83 - 17.1,641784.5585,20.68,213037.3067,311678.1797,182728.2498,224321.6367,195327.5155,207715.7768,581503.3439,457987.0872,532191.3055,523106.9175,703380.8726,819868.9703,175128.3379,318606.7239,102240.5943,168975.2966,198216.8887,172101.1669,517756.8706,365432.7883,286958.5562,299279.4394,612362.5297,659798.9402,x,x,x,x,,,"M+H, M+Na",,,,,,,
12.93_404.1091n,404.1090504,405.1163268,1,12.93205,2.493716667,28,6.18E-08,3.54E-07,13.00307158,CK_V,HI_V,100 - 17.1,604726.197,44.93,614044.7657,1074407.835,677969.4784,300707.1465,580028.8072,381199.1496,80435.39258,38919.57899,39607.88674,20676.97707,21076.77222,97410.53376,504778.4394,1098291.708,379339.2783,226514.3926,588608.8564,315839.3623,71617.77757,31054.34775,21356.64727,11829.69274,18349.41219,78392.24225,x,x,x,x,,,"M+H, M+Na",,,,,,,
7.85_323.0994n,323.0994104,324.1066869,1,7.85255,0.63825,0,1.22E-06,4.54E-06,4.803495108,HI_V,CK_V,100 - 25,707929.119,22.78,145580.3978,150597.6434,117087.5092,195926.5709,104724.0689,170351.3314,799173.089,433209.809,349009.2692,706009.4317,946290.4027,1132378.305,119675.063,153945.3991,65513.1133,147586.0774,106273.1948,141143.1687,711564.8808,345662.7334,188186.4566,403921.4544,823839.2702,911294.4052,x,x,x,x,,,"M+H, M+Na",,,,,,,
12.93_569.1637n,569.1636573,1139.346658,1,12.93205,0.1964,0,8.11E-09,6.06E-08,38.45871058,HI_V,CK_V,100 - 56.6 - 11.2,5457262.594,18.05,214379.7069,56390.90436,119783.6514,181574.3043,17500.59687,261766.3996,6188742.543,4788659.498,6298497.499,6049109.648,6739008.517,4483982.001,176231.8644,57644.46298,67021.6659,136774.9111,17759.47363,216884.3578,5510310.482,3820922.558,3396161.737,3460810.943,5866972.594,3608535.85,x,x,x,x,,,"M+H, 2M+H",,,,,,,
