,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
5.60_368.1102n,368.1102291,367.1029526,1,5.602,3.7354,4,2.22E-14,6.35E-13,295.7622524,HI_V,CK_V,100 - 22.7 - 4.35 - 0.424 - 0.0378 - 0.00358,44382310.96,29.55,158576.7793,94630.93277,134506.658,204508.4943,98755.02946,209386.7186,48714966.65,39554557.22,32259479.74,60913092.62,46759840.64,46952584.19,104953.8821,87705.23071,85628.44838,128241.5064,90270.22819,159479.2246,39029887.51,29245940.77,13046969.93,28205582.29,34548936.46,34226129.12,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.12_392.1026n,392.1025858,783.1978983,1,8.1242,0.48815,0,1.02E-09,1.67E-08,11.08851134,CK_V,HI_V,100 - 33.1,723822.0926,11.77,678142.9094,738321.355,615448.9211,839608.034,801062.1796,670349.1563,90935.29545,107905.5997,31723.32411,50572.88143,103779.5051,44766.40546,448828.2034,684286.2357,391801.6919,526494.5078,732236.7898,510570.8919,72856.34368,79783.49397,12830.12804,23417.58574,76678.4377,32632.51215,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.32_772.2415n,772.2415301,771.2342536,1,8.324783333,0.67905,1,2.96E-07,2.53E-06,3.61182955,CK_V,HI_V,100 - 36.8 - 17.5 - 5.17 - 0.684,4527794.591,13.69,4026476.097,4741106.625,4232230.86,4760403.701,3860708.013,5545842.249,1173440.621,1419957.032,1029732.783,828548.7345,1081659.986,991723.5142,2664919.16,4394121.86,2694285.674,2985114.842,3529005.006,4223986.257,940147.5271,1049891.142,416463.4009,383656.4276,799194.3862,722917.7614,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
10.95_748.3089n,748.308925,747.3016485,1,10.9549,0.370266667,0,0.000105056,0.000368119,257.0114796,CK_V,HI_V,100 - 41.8 - 32.2 - 11.7 - 1.55,1923271.227,23.48,2156400.137,1537358.392,2484767.936,2163777.299,1257598.291,1939725.306,5526.197149,43966.18168,0,6644.647624,8146.194445,5427.655498,1427211.265,1424844.589,1581831.161,1356843.692,1149548.386,1477390.208,4427.527472,32507.81796,0,3076.779511,6018.890365,3956.494432,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
5.42_402.1884n,402.1884157,401.1811393,1,5.42395,0.594966667,8,7.20E-08,7.62E-07,5.919153019,CK_V,HI_V,100 - 20.6 - 3.07,201827.6915,26.62,139817.1986,250580.7049,180423.722,120369.3816,366898.6477,152876.4945,39287.71733,50948.61802,26775.76145,20859.59669,33026.91743,28500.31107,92537.87246,232241.5925,114859.7668,75480.24287,335375.5736,116438.2582,31476.88059,37670.50803,10829.14409,9658.95911,24402.24039,20775.32778,x,x,x,x,,,"M-H, 2M-H",,,,,,,
6.10_490.1683n,490.1682535,489.1609771,1,6.099266667,1.624983333,25,5.31E-07,4.18E-06,3.176472836,CK_V,HI_V,100 - 22.8 - 4.2,2132138.224,20.76,2057637.9,2902716.82,1640790.822,1795019.995,2288356.124,2108307.685,693661.5749,787142.4322,469325.9089,538333.9586,507551.8288,603677.6414,1361845.577,2690277.279,1044545.856,1125606.391,2091745.916,1605790.84,555753.911,581999.2075,189813.3841,249273.5489,375009.3166,440051.368,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
9.49_489.1494n,489.1493952,977.2911268,1,9.487083333,0.545433333,0,6.99E-07,5.29E-06,21.10581491,CK_V,HI_V,100 - 48.7 - 16.4 - 3.75 - 0.37,4113817.161,40.23,6484729.503,4586624.265,1443818.365,3742959.22,3680735.278,4744036.335,247300.7099,323017.0928,70511.6221,35260.96871,47340.26033,268608.0956,4291911.708,4250945.516,919150.9787,2347104.116,3364495.107,3613291.432,198134.5683,238833.1315,28517.60228,16327.46117,34977.78487,195802.1166,x,x,x,x,,,"M-H, 2M-H",,,,,,,
9.40_382.1258n,382.12576,763.2438293,1,9.401366667,0.487816667,0,0.000215398,0.000689599,122.5639702,CK_V,HI_V,100 - 28.3 - 1.49,244771.347,19.52,243148.5496,201670.6329,204839.7648,310600.1896,295735.7684,212633.1766,0,1783.146065,0,0,2332.813153,4545.775117,160927.6233,186911.0752,130403.2937,194768.6151,270326.8426,161951.8867,0,1318.426697,0,0,1723.620361,3313.646923,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.35_808.2182n,808.2182053,807.2109288,1,8.353066667,0.284283333,0,3.90E-05,0.000155103,4.643009623,CK_V,HI_V,100 - 28.8,371721.4638,34.8,430394.393,233933.5221,450595.8702,506813.0205,186682.3922,421909.5848,47433.87277,68088.82877,160265.7695,116369.5529,43640.89861,23985.11044,284856.0967,216812.758,286854.3891,317808.145,170643.0774,321347.0936,38003.4894,50343.67703,64817.61924,53884.49115,32244.47758,17483.96816,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
7.95_350.1936n,350.1935518,349.1862754,1,7.952233333,0.5713,10,1.28E-11,2.75E-10,12.98307389,HI_V,CK_V,100 - 15.2,503308.1965,23.54,25260.7442,41308.94325,35267.20855,36741.73254,60490.38542,33529.92251,584891.0328,500420.0623,351301.5207,369122.6335,743285.2117,560584.3975,16718.79818,38285.68833,22451.50085,23039.70378,55293.19291,25538.03832,468608.1669,370001.7529,142079.7983,170920.8705,549183.0853,408638.5085,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
